MsgNum, Byte, GRIB-Version, elem, level, reference(UTC), valid(UTC), Proj(hr)
160.0, 161834281, 2, RIME="Rime Factor [-]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
161.0, 162072643, 2, HGT="Geopotential height [gpm]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
162.0, 163835421, 2, TMP="Temperature [K]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
163.0, 164550400, 2, RH="Relative humidity [%]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
164.0, 165284727, 2, SPFH="Specific humidity [kg/kg]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
165.0, 166463511, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
166.0, 168501642, 2, DZDT="Verical velocity (geometric) [m/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
167.0, 169235923, 2, UGRD="u-component of wind [m/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
167.1, 169235923, 2, VGRD="v-component of wind [m/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
168.0, 172356996, 2, ABSV="Absolute vorticity [1/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
169.0, 173742626, 2, STRM="Stream function [(m^2)/s]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
170.0, 174229304, 2, TKE="Turbulent kinetic energy [J/kg]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
171.0, 174501741, 2, CLWMR="Cloud mixing ratio [kg/kg]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
172.0, 174740103, 2, CICE="Cloud Ice [kg/(m^2)]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
173.0, 175059848, 2, RWMR="Rain mixing ratio [kg/kg]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
174.0, 175298210, 2, SNMR="Snow mixing ratio [kg/kg]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
175.0, 175536776, 2, RIME="Rime Factor [-]", 25000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
176.0, 175775138, 2, HGT="Geopotential height [gpm]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
177.0, 177527338, 2, TMP="Temperature [K]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
178.0, 178225678, 2, RH="Relative humidity [%]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
179.0, 178983849, 2, SPFH="Specific humidity [kg/kg]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
180.0, 180332266, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
181.0, 182435073, 2, DZDT="Verical velocity (geometric) [m/s]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
182.0, 183190415, 2, UGRD="u-component of wind [m/s]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
182.1, 183190415, 2, VGRD="v-component of wind [m/s]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
183.0, 186339164, 2, TKE="Turbulent kinetic energy [J/kg]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
184.0, 186612119, 2, CLWMR="Cloud mixing ratio [kg/kg]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
185.0, 186850481, 2, CICE="Cloud Ice [kg/(m^2)]", 27500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
